model,hulu,composite_score
deepseek-v4-flash-cloud-nothink,0.7334,0.7334
deepseek-v4-flash-cloud-think,0.7671,0.7671
deepseek-v4-pro-cloud-nothink,0.7458,0.7458
deepseek-v4-pro-cloud-think,0.7590,0.7590
glm-5.1-cloud-nothink,0.7160,0.7160
glm-5.1-cloud-think,0.7575,0.7575
gpt-oss-120b-cloud-nothink,0.7179,0.7179
gpt-oss-120b-cloud-think,0.7164,0.7164
gpt-oss-20b-cloud-nothink,0.6699,0.6699
kimi-k2.6-cloud-nothink,0.7594,0.7594
kimi-k2.6-cloud-think,0.7524,0.7524
minimax-m3-cloud-nothink,0.7578,0.7578
minimax-m3-cloud-think,0.7714,0.7714
nemotron-3-ultra-cloud-nothink,0.7052,0.7052
nemotron-3-ultra-cloud-think,0.7179,0.7179
qwen3-next-80b-cloud-nothink,0.6145,0.6145
qwen3-next-80b-cloud-think,0.6323,0.6323
qwen3.5-cloud-nothink,0.7505,0.7505
qwen3.5-cloud-think,0.7815,0.7815
