model,mode,composite,overall,hucola_acc,hucola_n,hucopa_acc,hucopa_n,hurte_acc,hurte_n,husst_acc,husst_n,huwnli_acc,huwnli_n,hucb_acc,hucb_n
kimi-k2.6-cloud,nothink,0.7684,0.7594,0.7967,910,0.9100,100,0.8971,243,0.6996,1165,0.5500,60,0.7573,103
gpt-oss-120b-cloud,think,0.7488,0.7164,0.7154,910,0.9000,100,0.9136,243,0.6661,1165,0.5500,60,0.7476,103
minimax-m3-cloud,think,0.7487,0.7714,0.8374,910,0.9600,100,0.8848,243,0.7030,1165,0.3500,60,0.7573,103
gpt-oss-120b-cloud,nothink,0.7307,0.7179,0.7275,910,0.9200,100,0.9053,243,0.6670,1165,0.4167,60,0.7476,103
deepseek-v4-flash-cloud,think,0.7230,0.7671,0.8593,910,0.9300,100,0.9506,243,0.6781,1165,0.2500,60,0.6699,103
deepseek-v4-pro-cloud,think,0.7223,0.7590,0.8593,910,0.9600,100,0.9177,243,0.6618,1165,0.2167,60,0.7184,103
kimi-k2.6-cloud,think,0.7215,0.7524,0.7868,910,0.9700,100,0.9465,243,0.6936,1165,0.1167,60,0.8155,103
qwen3.5-cloud,think,0.7161,0.7815,0.8758,910,0.9600,100,0.9424,243,0.6961,1165,0.0167,60,0.8058,103
glm-5.1-cloud,think,0.7121,0.7575,0.8330,910,0.9500,100,0.9424,243,0.6747,1165,0.0667,60,0.8058,103
qwen3.5-cloud,nothink,0.7097,0.7505,0.8165,910,0.9700,100,0.7860,243,0.7004,1165,0.2667,60,0.7184,103
nemotron-3-ultra-cloud,nothink,0.7075,0.7052,0.7242,910,0.8900,100,0.8683,243,0.6567,1165,0.4167,60,0.6893,103
glm-5.1-cloud,nothink,0.7073,0.7160,0.7505,910,0.9700,100,0.9012,243,0.6549,1165,0.3167,60,0.6505,103
minimax-m3-cloud,nothink,0.7061,0.7578,0.8330,910,0.9800,100,0.8148,243,0.6987,1165,0.1333,60,0.7767,103
deepseek-v4-flash-cloud,nothink,0.6996,0.7334,0.8813,910,0.9100,100,0.8148,243,0.6197,1165,0.4667,60,0.5049,103
gpt-oss-20b-cloud,nothink,0.6894,0.6699,0.6110,910,0.8400,100,0.9300,243,0.6592,1165,0.4167,60,0.6796,103
nemotron-3-ultra-cloud,think,0.6888,0.7179,0.7527,910,0.9300,100,0.9177,243,0.6584,1165,0.1167,60,0.7573,103
qwen3-next-80b-cloud,think,0.6598,0.6323,0.5813,910,0.9100,100,0.9300,243,0.6052,1165,0.3500,60,0.5825,103
deepseek-v4-pro-cloud,nothink,0.6459,0.7458,0.8538,910,0.8600,100,0.5802,243,0.7253,1165,0.2833,60,0.5728,103
qwen3-next-80b-cloud,nothink,0.6053,0.6145,0.5758,910,0.9200,100,0.9383,243,0.5845,1165,0.0500,60,0.5631,103
