model,mode,hulu,mmlu_hu,hugme,mt_bench_hu,ud_hungarian,stat,gen,ling,composite_40_40_20,avg_4_bench,total_runtime_h
deepseek-v4-flash-cloud,nothink,73.34%,52.00%,9.54%,50.00%,69.91%,62.67%,29.77%,69.91%,50.96%,51.20%,3.234962237777778
deepseek-v4-flash-cloud,think,76.71%,86.60%,9.50%,50.00%,0.27%,81.66%,29.75%,0.27%,44.62%,43.27%,8.937041407222223
deepseek-v4-pro-cloud,nothink,74.58%,77.53%,9.76%,50.00%,59.59%,76.06%,29.88%,59.59%,54.29%,55.36%,3.101453848888889
deepseek-v4-pro-cloud,think,75.90%,92.47%,9.47%,50.00%,1.67%,84.19%,29.73%,1.67%,45.90%,44.88%,12.447915723333335
glm-5.1-cloud,nothink,71.60%,84.47%,9.17%,50.00%,38.78%,78.03%,29.59%,38.78%,50.80%,51.01%,4.46127145
glm-5.1-cloud,think,75.75%,92.67%,9.37%,50.00%,0.82%,84.21%,29.68%,0.82%,45.72%,44.65%,10.443934515277778
glm-5.2-cloud,nothink,75.32%,84.93%,9.21%,50.00%,40.95%,80.12%,29.60%,40.95%,52.08%,52.60%,3.8326795188888894
glm-5.2-cloud,think,75.98%,91.40%,9.51%,50.00%,2.82%,83.69%,29.75%,2.82%,45.94%,44.93%,9.820587496944444
gpt-oss-120b-cloud,nothink,71.79%,85.67%,8.66%,50.00%,0.00%,78.73%,29.33%,0.00%,43.22%,41.53%,25.775505680555554
gpt-oss-120b-cloud,think,71.64%,87.00%,8.71%,50.00%,3.40%,79.32%,29.35%,3.40%,44.15%,42.69%,9.652298129722222
gpt-oss-20b-cloud,nothink,66.99%,46.07%,8.45%,50.00%,0.00%,56.53%,29.23%,0.00%,34.30%,30.38%,148.82773041333334
gpt-oss-20b-cloud,think,71.41%,46.47%,8.25%,50.00%,0.98%,58.94%,29.12%,0.98%,35.42%,31.78%,41.142378963333336
kimi-k2.6-cloud,nothink,75.94%,73.73%,9.44%,50.00%,61.83%,74.83%,29.72%,61.83%,54.19%,55.23%,6.8223734616666665
kimi-k2.6-cloud,think,75.24%,92.73%,9.42%,50.00%,0.00%,83.98%,29.71%,0.00%,45.48%,44.35%,21.662461660555554
minimax-m3-cloud,nothink,75.78%,91.33%,9.45%,50.00%,0.15%,83.56%,29.73%,0.15%,45.34%,44.18%,11.304345170277777
minimax-m3-cloud,think,77.14%,92.20%,9.61%,50.00%,0.52%,84.67%,29.80%,0.52%,45.89%,44.87%,13.510775678888889
nemotron-3-ultra-cloud,nothink,70.52%,82.67%,8.52%,50.00%,42.54%,76.59%,29.26%,42.54%,50.85%,51.06%,510.3108403358333
nemotron-3-ultra-cloud,think,71.79%,91.73%,8.76%,50.00%,7.51%,81.76%,29.38%,7.51%,45.96%,44.95%,82.62186160333333
qwen3.5-cloud,nothink,75.05%,85.07%,9.54%,50.00%,37.65%,80.06%,29.77%,37.65%,51.46%,51.83%,17.161241983611106
qwen3.5-cloud,think,78.15%,92.47%,9.24%,50.00%,0.00%,85.31%,29.62%,0.00%,45.97%,44.96%,84.34613165666667
qwen3-next-80b-cloud,nothink,61.45%,,,,,,,,,,26.688438944722225
qwen3-next-80b-cloud,think,63.23%,,,,,,,,,,33.67521387777778
